date,portfolio
2022-07-21,100000.0
2022-07-22,99633.37562845099
2022-07-25,99889.39193225848
2022-07-26,99889.39193225848
2022-07-27,100030.54801624139
2022-07-28,100030.54801624139
2022-07-29,100030.54801624139
2022-08-01,99014.49990576904
2022-08-02,98536.9809006007
2022-08-03,98158.54147921811
2022-08-04,100331.17679664551
2022-08-05,100331.17679664551
2022-08-08,100331.17679664551
2022-08-09,99925.3721599972
2022-08-10,100073.07469734673
2022-08-11,100073.07469734673
2022-08-12,98967.27883136072
2022-08-15,98754.74996897549
2022-08-16,98481.43045714789
2022-08-17,98110.99282676075
2022-08-18,97854.2847417611
2022-08-19,97854.2847417611
2022-08-22,97938.09074193808
2022-08-23,97938.09074193808
2022-08-24,97938.09074193808
2022-08-25,97938.09074193808
2022-08-26,97583.05008254046
2022-08-29,97583.05008254046
2022-08-30,96791.52295742638
2022-08-31,96532.90709846902
2022-09-01,96532.90709846902
2022-09-02,96799.3850000453
2022-09-06,96474.80738719228
2022-09-07,96083.3205894968
2022-09-08,96016.71806749456
2022-09-09,94686.78355012396
2022-09-12,94820.88031942424
2022-09-13,93791.23696253895
2022-09-14,93791.23696253895
2022-09-15,93005.82569680607
2022-09-16,92764.6362127147
2022-09-19,91779.0854425043
2022-09-20,90761.24083989985
2022-09-21,89810.82063328337
2022-09-22,89460.74827023887
2022-09-23,89141.92109368945
2022-09-26,89929.73855190421
2022-09-27,89659.80905894176
2022-09-28,89659.80905894176
2022-09-29,89659.80905894176
2022-09-30,89659.80905894176
2022-10-03,89431.91516040669
2022-10-04,89457.86025821241
2022-10-05,89457.86025821241
2022-10-06,89457.86025821241
2022-10-07,89214.12262430375
2022-10-10,89214.12262430375
2022-10-11,89214.12262430375
2022-10-12,88142.09663645776
2022-10-13,87873.46513979483
2022-10-14,87873.46513979483
2022-10-17,87617.86838976781
2022-10-18,87617.86838976781
2022-10-19,87617.86838976781
2022-10-20,86821.29182017628
2022-10-21,86478.5296009054
2022-10-24,86223.96774226558
2022-10-25,86223.96774226558
2022-10-26,86459.84910778732
2022-10-27,86459.84910778732
2022-10-28,86525.73212558913
2022-10-31,86525.73212558913
2022-11-01,86259.59395391533
2022-11-02,86259.59395391533
2022-11-03,86259.59395391533
2022-11-04,85226.28839617882
2022-11-07,85226.28839617882
2022-11-08,84957.49567188762
2022-11-09,85032.55920565955
2022-11-10,84027.43011745956
2022-11-11,84027.43011745956
2022-11-14,84027.43011745956
2022-11-15,83690.4994954587
2022-11-16,83690.4994954587
2022-11-17,83500.11609081141
2022-11-18,83500.11609081141
2022-11-21,82546.1575483104
2022-11-22,82386.422580398
2022-11-23,82078.30550720371
2022-11-25,82078.30550720371
2022-11-28,81810.02008496736
2022-11-29,81515.37204750077
2022-11-30,81515.37204750077
2022-12-01,81515.37204750077
2022-12-02,81515.37204750077
2022-12-05,81515.37204750077
2022-12-06,81420.50078723684
2022-12-07,81420.50078723684
2022-12-08,81101.08600110703
2022-12-09,80812.16354154692
2022-12-12,80501.38428040894
2022-12-13,80501.38428040894
2022-12-14,80501.38428040894
2022-12-15,80501.38428040894
2022-12-16,80501.38428040894
2022-12-19,80501.38428040894
2022-12-20,80501.38428040894
2024-12-31 00:00:00,80198.48146519216
