date,direction,tier,gap_pct,iv_daily,exit_reason,exit_bar,entry_fill,exit_fill,contracts,risk_cap,gross_pnl,commission,slippage,net_pnl,return_pct,portfolio_before,portfolio_after,peak_gamma,capped
2022-07-21,call,2,0.0016557410285869066,0.26511367608430214,HARD_STOP,8,2.6349988881731576,1.4194176496764288,3,1000.0,-364.67437154901864,1.9500000000000002,47.320912363840996,-366.62437154901863,-0.3666243715490186,100000.0,99633.37562845099,0.0653434163024487,False
2022-07-22,put,2,-0.0032310715832249777,0.26695486647895456,TIME_STOP,36,2.712669997289887,3.5725576766482323,3,996.33375628451,257.96630380750355,1.9500000000000002,78.51578556631624,256.01630380750356,0.2569583758380624,99633.37562845099,99889.39193225848,0.07788180918663429,False
2022-07-26,put,2,-0.00664825611128154,0.2500881841025787,TIME_STOP,36,2.6388712362738,3.1158915162167977,3,998.8939193225849,143.1060839828993,1.9500000000000002,69.34286162900293,141.1560839828993,0.14131238688351055,99889.39193225848,100030.54801624139,0.08159909834082439,False
2022-07-29,call,1,0.0055884395357296305,0.2708996964329472,HARD_STOP,24,3.3746718534290405,2.111111715338613,8,3000.9164404872417,-1010.848110472342,5.2,162.7870361497241,-1016.048110472342,-0.3385792742390961,100030.54801624139,99014.49990576904,0.07792495697177577,False
2022-08-01,put,2,-0.005326404676843087,0.2673004854911089,HARD_STOP,4,3.2859304478539775,1.7007004306261777,3,990.1449990576905,-475.5690051683399,1.9500000000000002,60.640364996396286,-477.5190051683399,-0.48227179415417865,99014.49990576904,98536.9809006007,0.054235863884403414,False
2022-08-02,put,2,-0.007310891603847154,0.2682342241494384,HARD_STOP,13,2.8753108918586836,1.6203461539167079,3,985.369809006007,-376.4894213825927,1.9500000000000002,48.771863048799126,-378.4394213825927,-0.3840582671843213,98536.9809006007,98158.54147921811,0.07067864510950822,False
2022-08-03,call,1,0.0055057827007655895,0.2660045824112171,GAMMA_PEAK,34,3.0416200335817005,5.462159275167692,9,2944.7562443765432,2178.485317427392,5.8500000000000005,350.8224699991314,2172.6353174273922,0.7377980169246156,98158.54147921811,100331.17679664551,0.06183339060334515,False
2022-08-08,call,2,0.002705024981701193,0.27480086075357874,HARD_STOP,25,2.8469457155753957,1.5007635934143675,3,1003.3117679664551,-403.85463664830843,1.9500000000000002,47.009532871499935,-405.8046366483084,-0.4044651419476584,100331.17679664551,99925.3721599972,0.08188160569550916,False
2022-08-09,put,2,-0.006226252434624313,0.25791164337595984,TIME_STOP,36,3.0588000686816077,3.5576418598467203,3,999.2537215999721,149.6525373495338,1.9500000000000002,79.38743113763209,147.7025373495338,0.14781284688441026,99925.3721599972,100073.07469734673,0.08184348796296156,False
2022-08-11,call,1,0.00750911147417382,0.2704746714595964,HARD_STOP,18,3.3573251619699067,1.9815803294873904,8,3002.1922409204017,-1100.595865986013,5.2,155.48953978442802,-1105.795865986013,-0.36832946635256175,100073.07469734673,98967.27883136072,0.07135166722061474,False
