date,portfolio
2022-07-21,100000.0
2022-07-22,99185.25992971937
2022-07-25,99185.25992971937
2022-07-26,99185.25992971937
2022-07-27,99185.25992971937
2022-07-28,99185.25992971937
2022-07-29,99185.25992971937
2022-08-01,98511.28876368958
2022-08-02,98511.28876368958
2022-08-03,98511.28876368958
2022-08-04,99225.27276219183
2022-08-05,99225.27276219183
2022-08-08,99225.27276219183
2022-08-09,98409.24238679012
2022-08-10,98409.24238679012
2022-08-11,98409.24238679012
2022-08-12,98409.24238679012
2022-08-15,98409.24238679012
2022-08-16,98409.24238679012
2022-08-17,98409.24238679012
2022-08-18,98409.24238679012
2022-08-19,98409.24238679012
2022-08-22,98409.24238679012
2022-08-23,98409.24238679012
2022-08-24,98409.24238679012
2022-08-25,98409.24238679012
2022-08-26,98102.94817923439
2022-08-29,98102.94817923439
2022-08-30,97365.79424075136
2022-08-31,96509.9934033568
2022-09-01,96509.9934033568
2022-09-02,95785.24658297036
2022-09-06,95163.89406630145
2022-09-07,95163.89406630145
2022-09-08,95163.89406630145
2022-09-09,95163.89406630145
2022-09-12,94440.19004910503
2022-09-13,93699.06782974793
2022-09-14,93699.06782974793
2022-09-15,93699.06782974793
2022-09-16,94207.42795422068
2022-09-19,93484.44280087938
2022-09-20,92746.54995346992
2022-09-21,92131.99059779957
2022-09-22,92131.99059779957
2022-09-23,91342.28974244707
2022-09-26,91342.28974244707
2022-09-27,90693.92423487452
2022-09-28,90693.92423487452
2022-09-29,90693.92423487452
2022-09-30,90693.92423487452
2022-10-03,90010.06621313414
2022-10-04,90010.06621313414
2022-10-05,90010.06621313414
2022-10-06,90010.06621313414
2022-10-07,89683.43531816741
2022-10-10,89683.43531816741
2022-10-11,89683.43531816741
2022-10-12,88863.85981157061
2022-10-13,88863.85981157061
2022-10-14,88863.85981157061
2022-10-17,90714.96126233749
2022-10-18,90714.96126233749
2022-10-19,90714.96126233749
2022-10-20,89993.57706298221
2022-10-21,89125.35420068532
2022-10-24,88434.30094960138
2022-10-25,88434.30094960138
2022-10-26,88434.30094960138
2022-10-27,88434.30094960138
2022-10-28,87730.5502454359
2022-10-31,87730.5502454359
2022-11-01,87115.39685584386
2022-11-02,87115.39685584386
2022-11-03,87115.39685584386
2022-11-04,86503.57655655316
2022-11-07,86503.57655655316
2022-11-08,86503.57655655316
2022-11-09,86503.57655655316
2022-11-10,86117.4243534058
2022-11-11,86117.4243534058
2022-11-14,86117.4243534058
2022-11-15,86117.4243534058
2022-11-16,86117.4243534058
2022-11-17,86117.4243534058
2022-11-18,86117.4243534058
2022-11-21,86117.4243534058
2022-11-22,86117.4243534058
2022-11-23,86014.01589289572
2022-11-25,86014.01589289572
2022-11-28,86014.01589289572
2022-11-29,86014.01589289572
2022-11-30,86014.01589289572
2022-12-01,86014.01589289572
2022-12-02,86014.01589289572
2022-12-05,86014.01589289572
2022-12-06,86014.01589289572
2022-12-07,86014.01589289572
2022-12-08,86014.01589289572
2022-12-09,85319.3417633158
2022-12-12,85319.3417633158
2022-12-13,85319.3417633158
2022-12-14,85319.3417633158
2022-12-15,85319.3417633158
2022-12-16,85319.3417633158
2022-12-19,85319.3417633158
2022-12-20,85319.3417633158
2022-12-21,84696.23623503528
2022-12-22,84696.23623503528
2022-12-23,84082.18345985301
2022-12-27,83460.27510924044
2022-12-28,83460.27510924044
2022-12-29,83460.27510924044
2022-12-30,82843.94916581851
2023-01-03,82843.94916581851
2023-01-04,84621.51196754709
2023-01-05,83759.58599728873
2023-01-06,83089.51647790417
2023-01-09,83089.51647790417
2023-01-10,82278.9059150995
2023-01-11,81497.64614620245
2023-01-12,81497.64614620245
2023-01-13,80896.62124937937
2023-01-17,80942.22889103026
2023-01-18,80942.22889103026
2023-01-19,80165.88310126799
2023-01-20,80165.88310126799
2023-01-23,80165.88310126799
2023-01-24,81518.14011963419
2023-01-25,81518.14011963419
2023-01-26,81518.14011963419
2023-01-27,81518.14011963419
2023-01-30,81518.14011963419
2023-01-31,80897.0071734182
2023-02-01,80897.0071734182
2023-02-02,80897.0071734182
2023-02-03,80897.0071734182
2023-02-06,80897.0071734182
2023-02-07,80593.65871198177
2023-02-08,80593.65871198177
2023-02-09,80593.65871198177
2023-02-10,80593.65871198177
2023-02-13,80593.65871198177
2023-02-14,81056.26929961912
2023-02-15,81056.26929961912
2023-02-16,81056.26929961912
2023-02-17,81056.26929961912
2023-02-21,81056.26929961912
2023-02-22,81056.26929961912
2023-02-23,80360.76314650867
2023-02-24,80360.76314650867
2023-02-27,80360.76314650867
2023-02-28,80360.76314650867
2023-03-01,80360.76314650867
2023-03-02,80360.76314650867
2023-03-03,80209.39768093247
2023-03-06,80104.66647688086
2023-03-07,80261.71994641625
2023-03-08,80261.71994641625
2023-03-09,80261.71994641625
2024-12-31 00:00:00,79515.68521105089
