date,direction,tier,gap_pct,iv_daily,exit_reason,exit_bar,entry_fill,exit_fill,contracts,risk_cap,gross_pnl,commission,slippage,net_pnl,return_pct,portfolio_before,portfolio_after,peak_gamma,capped
2022-07-21,call,2,0.0016557410285869066,0.26511367608430214,HARD_STOP,8,2.505538235850735,1.3481238497355372,7,2000.0,-810.1900702806385,4.55,102.8329864390594,-814.7400702806384,-0.4073700351403192,100000.0,99185.25992971937,0.06756286159543048,False
2022-07-22,put,2,-0.0032310715832249777,0.26695486647895456,GAMMA_PEAK,25,2.953182151138701,5.467419763050489,6,1983.7051985943874,1508.5425671470728,3.9000000000000004,239.43294725389023,1504.6425671470727,0.7585010959356417,99185.25992971937,100689.90249686645,0.07214991933250306,False
2022-07-26,put,2,-0.00664825611128154,0.2500881841025787,TIME_STOP,36,2.74963185512833,2.394335847891909,7,2013.7980499373289,-248.7072050654946,4.55,133.23117609177203,-253.25720506549462,-0.12576097443007067,100689.90249686645,100436.64529180095,0.09681235091890818,False
2022-07-29,call,2,0.0055884395357296305,0.2708996964329472,HARD_STOP,18,2.9036479725547224,1.7868626958384062,6,2008.732905836019,-670.0711660297898,3.9000000000000004,103.72693890146385,-673.9711660297897,-0.33552054833755424,100436.64529180095,99762.67412577115,0.07315735709878071,False
2022-08-01,put,2,-0.005326404676843087,0.2673004854911089,HARD_STOP,7,2.7133511734116387,1.532527219184524,7,1995.2534825154232,-826.5767679589802,4.55,118.09878612882468,-831.1267679589802,-0.4165519695829202,99762.67412577115,98931.54735781217,0.059280359104773486,False
2022-08-02,put,2,-0.007310891603847154,0.2682342241494384,HARD_STOP,16,2.4793498816189983,1.0720159963675728,7,1978.6309471562436,-985.1337196759978,4.55,91.4502200081536,-989.6837196759977,-0.5001861115628486,98931.54735781217,97941.86363813617,0.07597714779199717,False
2022-08-03,call,2,0.0055057827007655895,0.2660045824112171,TIME_STOP,36,2.8726564255967055,4.069129756433801,6,1958.8372727627234,717.8839985022573,3.9000000000000004,170.11824453639582,713.9839985022574,0.36449377823777157,97941.86363813617,98655.84763663843,0.0727934750422226,False
2022-08-08,call,2,0.002705024981701193,0.27480086075357874,HARD_STOP,15,3.0621961042718975,1.7086454786023726,6,1973.1169527327686,-812.1303754017149,3.9000000000000004,102.76327653269144,-816.0303754017149,-0.4135742558349175,98655.84763663843,97839.81726123672,0.07250137489695493,False
2022-08-09,put,2,-0.006226252434624313,0.25791164337595984,TIME_STOP,36,2.8861945526504758,2.8018968414430256,6,1956.7963452247345,-50.57862672447007,3.9000000000000004,127.27384817521558,-54.47862672447007,-0.02784072387370148,97839.81726123672,97785.33863451226,0.09042328369906241,False
2022-08-11,put,2,0.00750911147417382,0.2704746714595964,HARD_STOP,9,3.143668337871677,1.8053331286654977,6,1955.706772690245,-803.0011255237077,3.9000000000000004,110.9129953203087,-806.9011255237077,-0.41258798956540144,97785.33863451226,96978.43750898854,0.062052323597927256,False
2022-08-15,put,2,-0.0028509451502944406,0.27478689974432785,HARD_STOP,22,2.7626447126854057,1.5716172794196486,7,1939.5687501797709,-833.7192032860299,4.55,104.82632550518488,-838.2692032860299,-0.4321936013912031,96978.43750898854,96140.16830570251,0.08020270071878602,False
