date,portfolio
2022-07-21,100000.0
2022-07-22,100000.0
2022-07-25,100000.0
2022-07-26,100000.0
2022-07-27,100000.0
2022-07-28,100000.0
2022-07-29,100000.0
2022-08-01,100000.0
2022-08-02,100000.0
2022-08-03,100000.0
2022-08-04,100000.0
2022-08-05,100000.0
2022-08-08,100000.0
2022-08-09,100000.0
2022-08-10,100000.0
2022-08-11,100000.0
2022-08-12,100000.0
2022-08-15,100000.0
2022-08-16,100000.0
2022-08-17,100000.0
2022-08-18,100000.0
2022-08-19,100000.0
2022-08-22,100000.0
2022-08-23,100000.0
2022-08-24,100000.0
2022-08-25,100000.0
2022-08-26,100000.0
2022-08-29,100000.0
2022-08-30,100000.0
2022-08-31,100000.0
2022-09-01,100000.0
2022-09-02,100000.0
2022-09-06,100000.0
2022-09-07,100000.0
2022-09-08,100000.0
2022-09-09,100000.0
2022-09-12,100000.0
2022-09-13,100000.0
2022-09-14,100000.0
2022-09-15,100000.0
2022-09-16,100000.0
2022-09-19,100000.0
2022-09-20,100000.0
2022-09-21,100000.0
2022-09-22,100000.0
2022-09-23,100000.0
2022-09-26,100000.0
2022-09-27,100000.0
2022-09-28,100000.0
2022-09-29,100000.0
2022-09-30,100000.0
2022-10-03,100000.0
2022-10-04,100000.0
2022-10-05,100000.0
2022-10-06,100000.0
2022-10-07,100000.0
2022-10-10,100000.0
2022-10-11,100000.0
2022-10-12,100000.0
2022-10-13,100000.0
2022-10-14,100000.0
2022-10-17,100000.0
2022-10-18,100000.0
2022-10-19,100000.0
2022-10-20,100000.0
2022-10-21,100000.0
2022-10-24,100000.0
2022-10-25,100000.0
2022-10-26,100000.0
2022-10-27,100000.0
2022-10-28,100000.0
2022-10-31,100000.0
2022-11-01,100000.0
2022-11-02,100000.0
2022-11-03,100000.0
2022-11-04,100000.0
2022-11-07,100000.0
2022-11-08,100000.0
2022-11-09,100000.0
2022-11-10,100000.0
2022-11-11,100000.0
2022-11-14,100000.0
2022-11-15,100000.0
2022-11-16,100000.0
2022-11-17,100000.0
2022-11-18,100000.0
2022-11-21,100000.0
2022-11-22,100000.0
2022-11-23,100000.0
2022-11-25,100000.0
2022-11-28,100000.0
2022-11-29,100000.0
2022-11-30,100000.0
2022-12-01,100000.0
2022-12-02,100000.0
2022-12-05,100000.0
2022-12-06,100000.0
2022-12-07,100000.0
2022-12-08,100000.0
2022-12-09,100000.0
2022-12-12,100000.0
2022-12-13,100000.0
2022-12-14,100000.0
2022-12-15,100000.0
2022-12-16,100000.0
2022-12-19,100000.0
2022-12-20,100000.0
2022-12-21,100000.0
2022-12-22,100000.0
2022-12-23,100000.0
2022-12-27,100000.0
2022-12-28,100000.0
2022-12-29,100000.0
2022-12-30,100000.0
2023-01-03,100000.0
2023-01-04,100000.0
2023-01-05,99242.5821051802
2023-01-06,99242.5821051802
2023-01-09,99242.5821051802
2023-01-10,99242.5821051802
2023-01-11,99242.5821051802
2023-01-12,99242.5821051802
2023-01-13,99242.5821051802
2023-01-17,99242.5821051802
2023-01-18,99242.5821051802
2023-01-19,99242.5821051802
2023-01-20,99242.5821051802
2023-01-23,99242.5821051802
2023-01-24,99242.5821051802
2023-01-25,99242.5821051802
2023-01-26,99242.5821051802
2023-01-27,99242.5821051802
2023-01-30,99242.5821051802
2023-01-31,99242.5821051802
2023-02-01,99242.5821051802
2023-02-02,99242.5821051802
2023-02-03,99242.5821051802
2023-02-06,99242.5821051802
2023-02-07,99242.5821051802
2023-02-08,99242.5821051802
2023-02-09,99242.5821051802
2023-02-10,99242.5821051802
2023-02-13,99242.5821051802
2023-02-14,99242.5821051802
2023-02-15,99242.5821051802
2023-02-16,99242.5821051802
2023-02-17,99242.5821051802
2023-02-21,99242.5821051802
2023-02-22,99242.5821051802
2023-02-23,99242.5821051802
2023-02-24,99242.5821051802
2023-02-27,99242.5821051802
2023-02-28,99242.5821051802
2023-03-01,99242.5821051802
2023-03-02,99242.5821051802
2023-03-03,99242.5821051802
2023-03-06,99242.5821051802
2023-03-07,99242.5821051802
2023-03-08,99242.5821051802
2023-03-09,99242.5821051802
2023-03-10,99242.5821051802
2023-03-13,99242.5821051802
2023-03-14,99242.5821051802
2023-03-15,99242.5821051802
2023-03-16,99242.5821051802
2023-03-17,99242.5821051802
2023-03-20,99242.5821051802
2023-03-21,99242.5821051802
2023-03-22,99242.5821051802
2023-03-23,99242.5821051802
2023-03-24,99242.5821051802
2023-03-27,99242.5821051802
2023-03-28,99242.5821051802
2023-03-29,99242.5821051802
2023-03-30,99242.5821051802
2023-03-31,99242.5821051802
2023-04-03,99242.5821051802
2023-04-04,99242.5821051802
2023-04-05,99242.5821051802
2023-04-06,99242.5821051802
2023-04-10,99242.5821051802
2023-04-11,99242.5821051802
2023-04-12,99242.5821051802
2023-04-13,99242.5821051802
2023-04-14,99242.5821051802
2023-04-17,99242.5821051802
2023-04-18,99242.5821051802
2023-04-19,99242.5821051802
2023-04-20,99242.5821051802
2023-04-21,99242.5821051802
2023-04-24,99242.5821051802
2023-04-25,99242.5821051802
2023-04-26,99242.5821051802
2023-04-27,99242.5821051802
2023-04-28,99242.5821051802
2023-05-01,99242.5821051802
2023-05-02,99242.5821051802
2023-05-03,99242.5821051802
2023-05-04,99242.5821051802
2023-05-05,99242.5821051802
2023-05-08,99242.5821051802
2023-05-09,99242.5821051802
2023-05-10,99242.5821051802
2023-05-11,99242.5821051802
2023-05-12,99242.5821051802
2023-05-15,99242.5821051802
2023-05-16,99242.5821051802
2023-05-17,99242.5821051802
2023-05-18,99242.5821051802
2023-05-19,99242.5821051802
2023-05-22,99242.5821051802
2023-05-23,99242.5821051802
2023-05-24,99242.5821051802
2023-05-25,99242.5821051802
2023-05-26,99242.5821051802
2023-05-30,99242.5821051802
2023-05-31,99242.5821051802
2023-06-01,99242.5821051802
2023-06-02,99242.5821051802
2023-06-05,99242.5821051802
2023-06-06,99242.5821051802
2023-06-07,99242.5821051802
2023-06-08,99242.5821051802
2023-06-09,99242.5821051802
2023-06-12,99242.5821051802
2023-06-13,99242.5821051802
2023-06-14,99242.5821051802
2023-06-15,99242.5821051802
2023-06-16,99242.5821051802
2023-06-20,99242.5821051802
2023-06-21,99242.5821051802
2023-06-22,99242.5821051802
2023-06-23,99242.5821051802
2023-06-26,99242.5821051802
2023-06-27,99242.5821051802
2023-06-28,99242.5821051802
2023-06-29,99242.5821051802
2023-06-30,99242.5821051802
2023-07-03,99242.5821051802
2023-07-05,99242.5821051802
2023-07-06,99242.5821051802
2023-07-07,99242.5821051802
2023-07-10,99242.5821051802
2023-07-11,99242.5821051802
2023-07-12,99242.5821051802
2023-07-13,99242.5821051802
2023-07-14,99242.5821051802
2023-07-17,99242.5821051802
2023-07-18,99242.5821051802
2023-07-19,99242.5821051802
2023-07-20,99242.5821051802
2023-07-21,99242.5821051802
2023-07-24,99242.5821051802
2023-07-25,99242.5821051802
2023-07-26,99242.5821051802
2023-07-27,99242.5821051802
2023-07-28,99242.5821051802
2023-07-31,99242.5821051802
2023-08-01,99242.5821051802
2023-08-02,99242.5821051802
2023-08-03,99242.5821051802
2023-08-04,99242.5821051802
2023-08-07,99242.5821051802
2023-08-08,99242.5821051802
2023-08-09,99242.5821051802
2023-08-10,99242.5821051802
2023-08-11,99242.5821051802
2023-08-14,99242.5821051802
2023-08-15,99242.5821051802
2023-08-16,99242.5821051802
2023-08-17,99242.5821051802
2023-08-18,99242.5821051802
2023-08-21,99242.5821051802
2023-08-22,99242.5821051802
2023-08-23,99242.5821051802
2023-08-24,99242.5821051802
2023-08-25,99242.5821051802
2023-08-28,99242.5821051802
2023-08-29,98577.5317364884
2023-08-30,98577.5317364884
2023-08-31,98577.5317364884
2023-09-01,98577.5317364884
2023-09-05,98577.5317364884
2023-09-06,98577.5317364884
2023-09-07,98577.5317364884
2023-09-08,98577.5317364884
2023-09-11,98577.5317364884
2023-09-12,98577.5317364884
2023-09-13,98577.5317364884
2023-09-14,98577.5317364884
2023-09-15,98577.5317364884
2023-09-18,98577.5317364884
2023-09-19,98577.5317364884
2023-09-20,98577.5317364884
2023-09-21,98577.5317364884
2023-09-22,98577.5317364884
2023-09-25,98577.5317364884
2023-09-26,98577.5317364884
2023-09-27,98577.5317364884
2023-09-28,98577.5317364884
2023-09-29,98577.5317364884
2023-10-02,98577.5317364884
2023-10-03,98577.5317364884
2023-10-04,98577.5317364884
2023-10-05,98577.5317364884
2023-10-06,98577.5317364884
2023-10-09,98577.5317364884
2023-10-10,98577.5317364884
2023-10-11,98577.5317364884
2023-10-12,98577.5317364884
2023-10-13,98577.5317364884
2023-10-16,98577.5317364884
2023-10-17,98577.5317364884
2023-10-18,98577.5317364884
2023-10-19,98577.5317364884
2023-10-20,98577.5317364884
2023-10-23,98577.5317364884
2023-10-24,98577.5317364884
2023-10-25,98577.5317364884
2023-10-26,98577.5317364884
2023-10-27,98577.5317364884
2023-10-30,98577.5317364884
2023-10-31,98577.5317364884
2023-11-01,98577.5317364884
2023-11-02,98577.5317364884
2023-11-03,98577.5317364884
2023-11-06,98577.5317364884
2023-11-07,98577.5317364884
2023-11-08,98577.5317364884
2023-11-09,98577.5317364884
2023-11-10,98577.5317364884
2023-11-13,100371.87136329974
2023-11-14,100371.87136329974
2023-11-15,100371.87136329974
2023-11-16,100371.87136329974
2023-11-17,100371.87136329974
2023-11-20,100371.87136329974
2023-11-21,100371.87136329974
2023-11-22,100371.87136329974
2023-11-24,99570.69533501005
2023-11-27,99570.69533501005
2023-11-28,99570.69533501005
2023-11-29,98861.89314010479
2023-11-30,98861.89314010479
2023-12-01,98861.89314010479
2023-12-04,98861.89314010479
2023-12-05,98861.89314010479
2023-12-06,98861.89314010479
2023-12-07,98861.89314010479
2023-12-08,98861.89314010479
2023-12-11,98861.89314010479
2023-12-12,98861.89314010479
2023-12-13,98861.89314010479
2023-12-14,98861.89314010479
2023-12-15,98861.89314010479
2023-12-18,98861.89314010479
2023-12-19,98861.89314010479
2023-12-20,98861.89314010479
2023-12-21,98861.89314010479
2023-12-22,98861.89314010479
2023-12-26,98861.89314010479
2023-12-27,98861.89314010479
2023-12-28,98861.89314010479
2023-12-29,98861.89314010479
2024-01-02,98861.89314010479
2024-01-03,98861.89314010479
2024-01-04,98861.89314010479
2024-01-05,98861.89314010479
2024-01-08,98861.89314010479
2024-01-09,98861.89314010479
2024-01-10,98861.89314010479
2024-01-11,98861.89314010479
2024-01-12,98861.89314010479
2024-01-16,98861.89314010479
2024-01-17,98861.89314010479
2024-01-18,98861.89314010479
2024-01-19,98861.89314010479
2024-01-22,98861.89314010479
2024-01-23,98861.89314010479
2024-01-24,98861.89314010479
2024-01-25,98861.89314010479
2024-01-26,98861.89314010479
2024-01-29,98861.89314010479
2024-01-30,98861.89314010479
2024-01-31,98861.89314010479
2024-02-01,98861.89314010479
2024-02-02,98861.89314010479
2024-02-05,98861.89314010479
2024-02-06,98861.89314010479
2024-02-07,98861.89314010479
2024-02-08,98861.89314010479
2024-02-09,98861.89314010479
2024-02-12,98861.89314010479
2024-02-13,98861.89314010479
2024-02-14,98861.89314010479
2024-02-15,98861.89314010479
2024-02-16,98861.89314010479
2024-02-20,98861.89314010479
2024-02-21,98861.89314010479
2024-02-22,98861.89314010479
2024-02-23,98861.89314010479
2024-02-26,98861.89314010479
