date,direction,tier,gap_pct,iv_daily,exit_reason,exit_bar,entry_fill,exit_fill,contracts,risk_cap,gross_pnl,commission,slippage,net_pnl,return_pct,portfolio_before,portfolio_after,peak_gamma,capped
2022-07-21,call,2,0.0016557410285869066,0.26511367608430214,HARD_STOP,8,2.505538235850735,1.3481238497355372,7,2000.0,-810.1900702806385,4.55,102.8329864390594,-814.7400702806384,-0.4073700351403192,100000.0,99185.25992971937,0.06756286159543048,False
2022-07-29,call,2,0.0055884395357296305,0.2708996964329472,HARD_STOP,18,2.9036479725547224,1.7868626958384062,6,1983.7051985943874,-670.0711660297898,3.9000000000000004,103.72693890146385,-673.9711660297897,-0.3397536924878514,99185.25992971937,98511.28876368958,0.07315735709878071,False
2022-08-03,call,2,0.0055057827007655895,0.2660045824112171,TIME_STOP,36,2.8726564255967055,4.069129756433801,6,1970.2257752737917,717.8839985022573,3.9000000000000004,170.11824453639582,713.9839985022574,0.3623868936559003,98511.28876368958,99225.27276219183,0.0727934750422226,False
2022-08-08,call,2,0.002705024981701193,0.27480086075357874,HARD_STOP,15,3.0621961042718975,1.7086454786023726,6,1984.5054552438366,-812.1303754017149,3.9000000000000004,102.76327653269144,-816.0303754017149,-0.4112008728650479,99225.27276219183,98409.24238679012,0.07250137489695493,False
2022-08-25,call,2,0.005720972565336078,0.22459837860407683,TIME_STOP,36,2.8482139768627612,2.344223630936537,6,1968.1848477358026,-302.39420755573445,3.9000000000000004,111.46521869923313,-306.29420755573443,-0.15562268346293537,98409.24238679012,98102.94817923439,0.09393681741962233,False
2022-08-29,call,2,-0.009592326139088713,0.26828990842704514,HARD_STOP,13,2.958279265870604,1.736189368398892,6,1962.0589635846877,-733.2539384830271,3.9000000000000004,109.84142799631668,-737.1539384830271,-0.37570427401235923,98102.94817923439,97365.79424075136,0.06539681494162355,False
2022-08-30,call,2,0.006055101422948873,0.27002013038101097,HARD_STOP,7,3.0091651308005547,1.5893304018096217,6,1947.3158848150272,-851.9008373945597,3.9000000000000004,109.09678280384463,-855.8008373945597,-0.43947715112273683,97365.79424075136,96509.9934033568,0.059879392173762126,False
2022-09-01,call,2,-0.009067889405967814,0.24996794173625025,HARD_STOP,8,2.416555417865504,1.3877028173134447,7,1930.199868067136,-720.1968203864417,4.55,98.4423547890407,-724.7468203864416,-0.3754776033179345,96509.9934033568,95785.24658297036,0.07124410688272007,False
2022-09-02,put,2,0.00954009232347417,0.24862091391604,HARD_STOP,9,2.7462166779095103,1.717129150128002,6,1915.7049316594073,-617.452516668905,3.9000000000000004,95.16667383494726,-621.352516668905,-0.32434667072171797,95785.24658297036,95163.89406630145,0.07415081424169082,False
2022-09-09,put,2,0.007871064467766125,0.24049395729891512,HARD_STOP,7,2.512382669831757,1.4850197881225788,7,1903.277881326029,-719.1540171964247,4.55,103.89673000457236,-723.7040171964246,-0.38024085936007107,95163.89406630145,94440.19004910503,0.06606019044006732,False
2022-09-12,call,2,0.004937118457484132,0.256496295321338,HARD_STOP,28,3.028330560071502,1.79962686114299,6,1888.8038009821007,-737.2222193571073,3.9000000000000004,101.4827876744501,-741.1222193571073,-0.3923764972157267,94440.19004910503,93699.06782974793,0.09243896554336405,False
2022-09-15,put,2,-0.006780364617566609,0.3128791116899729,TIME_STOP,36,3.231153745623099,4.2543739945685966,5,1873.9813565949587,511.6101244727487,3.25,169.52076750495326,508.3601244727487,0.27127277583830595,93699.06782974793,94207.42795422068,0.0639895607730764,False
2022-09-16,call,2,-0.011647137478447525,0.31481318246933243,HARD_STOP,25,3.122012458840115,1.923537203271278,6,1884.1485590844136,-719.0851533413022,3.9000000000000004,113.20971520737518,-722.9851533413022,-0.3837198239254716,94207.42795422068,93484.44280087938,0.0853389218918294,False
